design_id,weight,pax,cargo,lio_depth,lio_type,pwr_source,prop_type,mod,combine_score,msn1_score,msn2_score,msn3_score,cost,range,max_speed,endurance_speed,fpn,fpn1,fpn2,fpn3
1808,28000,4,50,120,1,2,1,800,0.731,0.650,0.704,0.613,29.77,139,15,5,35.15,32.86,32.73,29.95
1809,28000,4,50,120,1,2,1,150,0.690,0.564,0.610,0.353,27.28,165,16,5,32.08,35.96,35.96,35.23
1810,28000,4,50,120,1,2,2,300,0.798,0.746,0.779,0.697,29.44,199,17,6,29.96,21.08,28.67,25.84
1811,28000,4,50,120,1,2,2,800,0.763,0.693,0.733,0.624,29.84,174,17,6,34.5,27.53,30.22,30.22
1812,28000,4,50,120,1,2,2,150,0.724,0.610,0.640,0.366,27.34,207,18,6,29.35,30.73,34.55,35.45
1813,28000,4,50,120,2,1,1,300,0.820,0.807,0.911,0.861,22.89,153,10,5,15.07,10.04,3.29,3.3
1814,28000,4,50,120,2,1,1,800,0.774,0.737,0.854,0.783,24.12,117,10,4,19.84,14.92,8.86,8.06
1815,28000,4,50,120,2,1,1,150,0.754,0.681,0.780,0.532,21.56,169,10,6,11.08,13.8,12.28,13.06
1816,28000,4,50,120,2,1,2,300,0.842,0.834,0.933,0.868,22.32,173,11,6,12.87,7.83,1.09,1.09
1818,28000,4,50,120,2,1,2,150,0.777,0.713,0.803,0.540,21.02,193,11,6,8.99,11.7,8.64,10.97
1819,28000,4,50,120,2,2,1,300,0.820,0.806,0.913,0.861,32.31,151,16,5,27.07,24.16,21.35,15.63
1820,28000,4,50,120,2,2,1,800,0.788,0.754,0.870,0.788,32.5,130,15,5,31.2,30.55,22.09,23.88
1821,28000,4,50,120,2,2,1,150,0.747,0.670,0.776,0.529,30.32,157,16,5,36.57,30.38,29.32,32.08
1822,28000,4,50,120,2,2,2,300,0.853,0.850,0.943,0.872,32.39,188,17,6,22.73,18.65,18.18,14.38
1824,28000,4,50,120,2,2,2,150,0.780,0.714,0.806,0.541,30.39,196,17,6,32.23,24.87,28.63,32.35
1825,28000,4,50,120,3,1,1,300,0.825,0.819,0.937,0.891,22.64,143,10,5,14.11,9.07,2.33,1.75
1827,28000,4,50,120,3,1,1,150,0.758,0.693,0.806,0.562,21.33,160,10,5,10.19,12.9,8.19,12.17
1828,28000,4,50,120,3,1,2,300,0.845,0.844,0.957,0.899,22.27,162,11,5,12.68,7.64,0.46,0.88
1830,28000,4,50,120,3,1,2,150,0.782,0.723,0.829,0.571,20.79,182,11,6,8.1,10.81,4.55,10.08
1831,28000,4,50,120,3,2,1,300,0.833,0.827,0.946,0.894,32.31,151,16,5,25.41,21.49,17.73,11.88
1833,28000,4,50,120,3,2,1,150,0.758,0.691,0.807,0.562,30.32,157,16,5,35.12,27.72,28.36,32.09
1834,28000,4,50,120,3,2,2,300,0.866,0.871,0.976,0.906,32.39,188,17,6,21.07,15.99,12.96,10.63
1836,28000,4,50,120,3,2,2,150,0.791,0.736,0.837,0.574,30.39,196,17,6,30.79,24.77,25.92,32.35
1837,28000,4,50,120,4,1,1,300,0.793,0.753,0.816,0.754,20.71,170,10,6,7.79,10.5,6.59,2.63
1838,28000,4,50,120,4,1,1,800,0.750,0.687,0.761,0.678,21.93,135,10,5,12.52,15.23,15.23,8.76
1839,28000,4,50,120,4,1,1,150,0.727,0.627,0.684,0.424,19.38,186,10,6,8.27,9.23,6.91,10.31
