L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,Prof,MAU1,MAU2,CAPEX
180,20,14,600,250,15000,600,0,0,1,1,1082.9,21.747,0.78868,0.79588,261.66
160,25,14,600,250,15000,600,0,0,1,1,1299.9,21.344,0.77585,0.77669,272.9
180,25,14,600,250,15000,600,0,0,1,1,1614.3,20.84,0.75963,0.78713,286.96
120,30,14,600,250,15000,600,0,0,1,1,1022.9,21.747,0.78868,0.71282,261.66
140,30,14,600,250,15000,600,0,0,1,1,1394.9,21.142,0.76939,0.74994,278.53
160,30,14,600,250,15000,600,0,0,1,1,1775.7,20.537,0.7498,0.76869,295.4
180,30,14,600,250,15000,600,0,0,1,1,2164.5,19.933,0.72988,0.77773,312.26
120,35,14,600,250,15000,600,0,0,1,1,1364.9,21.142,0.76939,0.70706,278.53
140,35,14,600,250,15000,600,0,0,1,1,1810,20.437,0.7465,0.74286,298.21
160,35,14,600,250,15000,600,0,0,1,1,2265.8,19.731,0.72317,0.76016,317.89
180,35,14,600,250,15000,600,0,0,1,1,2731.1,19.026,0.69936,0.76761,337.57
180,20,8,800,250,15000,600,0,0,1,1,1080.5,23.302,0.85239,0.80948,222.99
160,25,8,800,250,15000,600,0,0,1,1,1297.4,23.071,0.84535,0.79219,229.42
180,25,8,800,250,15000,600,0,0,1,1,1611.8,22.783,0.8365,0.80513,237.45
120,30,8,800,250,15000,600,0,0,1,1,1020.5,23.302,0.85239,0.72642,222.99
140,30,8,800,250,15000,600,0,0,1,1,1392.4,22.956,0.84182,0.76642,232.63
160,30,8,800,250,15000,600,0,0,1,1,1773.3,22.611,0.83116,0.78827,242.27
180,30,8,800,250,15000,600,0,0,1,1,2162.1,22.265,0.82041,0.8006,251.91
120,35,8,800,250,15000,600,0,0,1,1,1362.4,22.956,0.84182,0.72354,232.63
140,35,8,800,250,15000,600,0,0,1,1,1807.6,22.553,0.82937,0.76296,243.87
160,35,8,800,250,15000,600,0,0,1,1,2263.3,22.15,0.8168,0.78419,255.12
180,35,8,800,250,15000,600,0,0,1,1,2728.6,21.747,0.80411,0.79588,266.37
180,20,11,800,250,15000,600,0,0,1,1,1080.5,22.524,0.82848,0.80289,244.68
160,25,11,800,250,15000,600,0,0,1,1,1297.4,22.208,0.81861,0.78471,253.51
180,25,11,800,250,15000,600,0,0,1,1,1611.8,21.812,0.80616,0.79648,264.56
120,30,11,800,250,15000,600,0,0,1,1,1020.5,22.524,0.82848,0.71983,244.68
140,30,11,800,250,15000,600,0,0,1,1,1392.4,22.049,0.81364,0.75848,257.93
160,30,11,800,250,15000,600,0,0,1,1,1773.3,21.574,0.79863,0.77889,271.19
180,30,11,800,250,15000,600,0,0,1,1,2162.1,21.099,0.78343,0.7897,284.44
120,35,11,800,250,15000,600,0,0,1,1,1362.4,22.049,0.81364,0.7156,257.93
140,35,11,800,250,15000,600,0,0,1,1,1807.6,21.495,0.79611,0.75333,273.4
160,35,11,800,250,15000,600,0,0,1,1,2263.3,20.941,0.77833,0.77276,288.86
180,35,11,800,250,15000,600,0,0,1,1,2728.6,20.386,0.76028,0.78251,304.32
180,20,14,800,250,15000,600,0,0,1,1,1080.5,21.747,0.80411,0.79588,266.37
160,25,14,800,250,15000,600,0,0,1,1,1297.4,21.344,0.79129,0.77669,277.61
180,25,14,800,250,15000,600,0,0,1,1,1611.8,20.84,0.77506,0.78713,291.67
120,30,14,800,250,15000,600,0,0,1,1,1020.5,21.747,0.80411,0.71282,266.37
140,30,14,800,250,15000,600,0,0,1,1,1392.4,21.142,0.78482,0.74994,283.24
160,30,14,800,250,15000,600,0,0,1,1,1773.3,20.537,0.76523,0.76869,300.1
180,30,14,800,250,15000,600,0,0,1,1,2162.1,19.933,0.74531,0.77773,316.97
120,35,14,800,250,15000,600,0,0,1,1,1362.4,21.142,0.78482,0.70706,283.24
140,35,14,800,250,15000,600,0,0,1,1,1807.6,20.437,0.76193,0.74286,302.92
160,35,14,800,250,15000,600,0,0,1,1,2263.3,19.731,0.7386,0.76016,322.6
180,35,14,800,250,15000,600,0,0,1,1,2728.6,19.026,0.7148,0.76761,342.28
160,25,8,400,350,15000,600,0,0,1,1,1102.8,23.071,0.8125,0.79219,221.61
180,25,8,400,350,15000,600,0,0,1,1,1417.2,22.783,0.80365,0.80513,229.64
140,30,8,400,350,15000,600,0,0,1,1,1197.9,22.956,0.80896,0.76642,224.82
160,30,8,400,350,15000,600,0,0,1,1,1578.7,22.611,0.7983,0.78827,234.46
180,30,8,400,350,15000,600,0,0,1,1,1967.5,22.265,0.78755,0.8006,244.1
120,35,8,400,350,15000,600,0,0,1,1,1167.9,22.956,0.80896,0.72354,224.82
140,35,8,400,350,15000,600,0,0,1,1,1613,22.553,0.79652,0.76296,236.06
160,35,8,400,350,15000,600,0,0,1,1,2068.8,22.15,0.78395,0.78419,247.31
180,35,8,400,350,15000,600,0,0,1,1,2534,21.747,0.77126,0.79588,258.56
160,25,11,400,350,15000,600,0,0,1,1,1102.8,22.208,0.78575,0.78471,245.7
180,25,11,400,350,15000,600,0,0,1,1,1417.2,21.812,0.77331,0.79648,256.75
140,30,11,400,350,15000,600,0,0,1,1,1197.9,22.049,0.78079,0.75848,250.12
160,30,11,400,350,15000,600,0,0,1,1,1578.7,21.574,0.76578,0.77889,263.38
