design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,ROI,MAU1,MAU2,CAPEX
19.2,180,35,14,400,250,15000,600,0,0,1,1,2734,0.022159,0.21672,0.28238,332.86
19.3,120,20,8,600,250,15000,600,0,0,1,1,371.13,0.085565,0.60284,0.47038,199
19.4,140,20,8,600,250,15000,600,0,0,1,1,603.05,0.080672,0.5835,0.49891,205.43
19.5,160,20,8,600,250,15000,600,0,0,1,1,840.52,0.076076,0.56451,0.5097,211.86
19.6,180,20,8,600,250,15000,600,0,0,1,1,1082.9,0.071751,0.54586,0.51142,218.28
19.7,120,25,8,600,250,15000,600,0,0,1,1,691.13,0.078339,0.57396,0.44898,208.64
19.8,140,25,8,600,250,15000,600,0,0,1,1,991.9,0.072808,0.55049,0.47462,216.68
19.9,160,25,8,600,250,15000,600,0,0,1,1,1299.9,0.067673,0.52756,0.48272,224.71
20,180,25,8,600,250,15000,600,0,0,1,1,1614.3,0.062892,0.50515,0.48192,232.74
20.1,120,30,8,600,250,15000,600,0,0,1,1,1022.9,0.071751,0.54586,0.42836,218.28
20.2,140,30,8,600,250,15000,600,0,0,1,1,1394.9,0.06572,0.51854,0.45139,227.92
20.3,160,30,8,600,250,15000,600,0,0,1,1,1775.7,0.060179,0.49196,0.45708,237.56
20.4,180,30,8,600,250,15000,600,0,0,1,1,2164.5,0.05507,0.43172,0.44038,247.2
20.5,120,35,8,600,250,15000,600,0,0,1,1,1364.9,0.06572,0.51854,0.40851,227.92
20.6,140,35,8,600,250,15000,600,0,0,1,1,1810,0.059299,0.45333,0.43774,239.17
20.7,160,35,8,600,250,15000,600,0,0,1,1,2265.8,0.053454,0.42324,0.42586,250.41
20.8,180,35,8,600,250,15000,600,0,0,1,1,2731.1,0.048112,0.39422,0.41035,261.66
20.9,120,20,11,600,250,15000,600,0,0,1,1,371.13,0.07497,0.55982,0.43857,213.46
21,140,20,11,600,250,15000,600,0,0,1,1,603.05,0.069174,0.53439,0.46288,222.3
21.1,160,20,11,600,250,15000,600,0,0,1,1,840.52,0.063822,0.50959,0.46974,231.13
21.2,180,20,11,600,250,15000,600,0,0,1,1,1082.9,0.058863,0.45114,0.45606,239.97
21.3,120,25,11,600,250,15000,600,0,0,1,1,691.13,0.066446,0.52191,0.41095,226.72
21.4,140,25,11,600,250,15000,600,0,0,1,1,991.9,0.060068,0.49141,0.43189,237.76
21.5,160,25,11,600,250,15000,600,0,0,1,1,1299.9,0.054257,0.42747,0.42926,248.81
21.6,180,25,11,600,250,15000,600,0,0,1,1,1614.3,0.048939,0.39881,0.41401,259.85
21.7,120,30,11,600,250,15000,600,0,0,1,1,1022.9,0.058863,0.45114,0.41453,239.97
21.8,140,30,11,600,250,15000,600,0,0,1,1,1394.9,0.052074,0.41588,0.40756,253.22
21.9,160,30,11,600,250,15000,600,0,0,1,1,1775.7,0.04596,0.3821,0.39303,266.48
