design_id,capability,propulsion,fuel_mass,dfc,payload,speed,deltav,base_mass,mass_fraction,isp,dry_mass,wet_mass,cost,mau_1_1,fpn_1_1,mau_2_1,fpn_2_1,mau_3_1,fpn_3_1,mau_4_1,fpn_4_1,mau_5_1,fpn_5_1,mau_6_1,fpn_6_1,mau_7_1,fpn_7_1,mau_8_1,fpn_8_1,mau_1_2,fpn_1_2,mau_2_2,fpn_2_2,mau_3_2,fpn_3_2,mau_4_2,fpn_4_2,mau_5_2,fpn_5_2,mau_6_2,fpn_6_2,mau_7_2,fpn_7_2,mau_8_2,fpn_8_2,capability_name,propulsion_name
190,1,3,3000,1,1000,1,8289.9,1000,0.2,1500,3960,6960,663.6,0.8197,0.84259,0.6299,0.37032,0.79878,4.1752,0.63992,0.0077163,0.3049,0.34407,0.69424,7.7353,0.2798,2.519,0.8797,0.84259,0.83235,0.79178,0.63412,0.38933,0.82469,3.531,0.64,0.0000601,0.30912,0.36173,0.72586,7.3314,0.31292,1.8724,0.89235,0.77277,Medium,Nuclear
191,1,3,10000,1,1000,1,15231,1000,0.2,1500,5500,15500,980,0.88,9.86E-05,0.65,0.27981,0.92,0.000061,0.64,0.27981,0.325,0.27981,0.92,0.0000663,0.56184,0.74779,0.94,0.0000916,0.88,0.0000506,0.65,0.0000506,0.92,0.000061,0.64,0.0000506,0.325,0.0000506,0.92,0.0000663,0.56826,0.76774,0.94,0.0000916,Medium,Nuclear
192,1,3,30000,1,1000,1,20489,1000,0.2,1500,9900,39900,1884,0.88,5.032,0.65,12.44,0.92,2.7051,0.64,13.504,0.325,12.949,0.92,1.0857,0.6,5.2326,0.94,2.3525,0.88,6.6263,0.65,13.948,0.92,3.8581,0.64,15.293,0.325,14.234,0.92,1.0858,0.6,6.9195,0.94,2.929,Medium,Nuclear
193,2,0,100,1,3000,1,44.124,0,0.12,300,6613.2,6713.2,1059.1,0.37431,13.945,0.73144,1.1795,NaN,NaN,0.84072,0.9092,0.42644,1.1795,0.23231,13.775,NaN,NaN,0.38431,13.818,0.37431,14.585,0.73144,1.2117,NaN,NaN,0.84072,0.88377,0.42644,1.2117,0.23231,14.585,NaN,NaN,0.38431,14.222,High,Biprop
194,2,0,300,1,3000,1,129.93,0,0.12,300,6639.6,6939.6,1065.3,0.38269,13.866,0.73423,1.0283,NaN,NaN,0.84212,1.0003,0.42923,1.0283,0.2368,13.866,NaN,NaN,0.39269,13.909,0.38269,14.696,0.73423,1.322,NaN,NaN,0.84212,0.99408,0.42923,1.2438,0.2368,14.696,NaN,NaN,0.39269,14.33,High,Biprop
195,2,0,600,1,3000,1,252.91,0,0.12,300,6679.2,7279.2,1074.7,0.3947,14.003,0.73823,1.1368,NaN,NaN,0.84412,0.87196,0.43323,1.1368,0.24323,14.003,NaN,NaN,0.4047,14.046,0.3947,14.861,0.73823,1.1596,NaN,NaN,0.84412,1.1578,0.43323,1.2475,0.24323,14.861,NaN,NaN,0.4047,14.491,High,Biprop
196,2,0,1200,1,3000,1,480.52,0,0.12,300,6758.4,7958.4,1093.3,0.41693,14.276,0.74564,1.081,NaN,NaN,0.84782,0.6692,0.44064,1.383,0.25514,14.276,NaN,NaN,0.42693,14.049,0.41693,15.192,0.74564,1.4905,NaN,NaN,0.84782,0.78506,0.44064,1.5784,0.25514,15.192,NaN,NaN,0.42693,14.814,High,Biprop
197,2,0,3000,1,3000,1,1049.1,0,0.12,300,6996,9996,1149.4,0.47247,15.096,0.76416,1.4676,NaN,NaN,0.85708,1.0617,0.45916,1.6934,0.2849,15.096,NaN,NaN,0.48247,14.868,0.47247,16.185,0.76416,1.5156,NaN,NaN,0.85708,1.4994,0.45916,2.0651,0.2849,16.185,NaN,NaN,0.48247,15.463,High,Biprop
198,2,0,10000,1,3000,1,2400.6,0,0.12,300,7920,17920,1367.2,0.60448,14.412,0.80816,1.7729,NaN,NaN,0.87908,1.773,0.50316,3.3528,0.35561,18.282,NaN,NaN,0.61448,15.517,0.60448,16.716,0.80816,3.3559,NaN,NaN,0.87908,3.3559,0.50316,4.4074,0.35561,20.045,NaN,NaN,0.61448,18.191,High,Biprop
199,2,0,30000,1,3000,1,3956.4,0,0.12,300,10560,40560,1989.6,0.75644,14.126,0.85881,6.5768,NaN,NaN,0.90441,3.5805,0.55381,6.5768,0.43702,27.132,NaN,NaN,0.76644,15.939,0.75644,14.127,0.85881,7.364,NaN,NaN,0.90441,4.4895,0.55381,8.1176,0.43702,30.822,NaN,NaN,0.76644,17.356,High,Biprop
